序号,客户代码,产品代码,数量,交期,备注
25,AP,AP-i15-pro-r,10000,2025-03-10,
37,AP,AP-i16-r,55000,2025-03-11,
18,AP,AP-i14-mini,30000,2025-03-13,
57,AP,AP-i15-h-r,20000,2025-03-13,
47,HW,HW-Mate50,60000,2025-03-14,
48,Z,Z-Mi14,20000,2025-03-14,
59,AP,AP-i14-pro-max-r,100000,2025-03-14,
23,AP,AP-i16-pro-r,60000,2025-03-16,
65,AP,AP-i16-pro-r,50000,2025-03-17,
78,CY,CY-Spark9-h-r,40000,2025-03-17,
83,HW,HW-Mate60-h-r,70000,2025-03-18,
68,AP,AP-i15-mini-h-r,55000,2025-03-19,
69,M,M-Blade-V40,35000,2025-03-22,
111,HW,HW-P60-h,30000,2025-03-22,
150,HW,HW-P70-h-r,40000,2025-03-22,
116,O,O-Find-X6-h-r,35000,2025-03-24,
80,HW,HW-P50-h,30000,2025-03-28,
142,HW,HW-Mate60-h-r,45000,2025-04-03,
41,M,M-Axon40-r,40000,2025-04-04,
28,AP,AP-i16-pro-max-h,55000,2025-04-07,
71,Z,Z-Mi13-h,15000,2025-04-08,
54,AP,AP-i15-mini-h-r,80000,2025-04-10,
85,CY,CY-Spark8-h-r,40000,2025-04-20,
140,O,O-X80-r,30000,2025-04-22,
97,V,V-S15,95000,2025-04-23,
94,O,O-X80-r,40000,2025-04-25,
136,Z,Z-Redmi-K70-h,35000,2025-04-25,
137,AP,AP-i14-h-r,50000,2025-04-27,
36,HW,HW-Mate50,50000,2025-04-28,
103,M,M-Axon30-r,30000,2025-04-28,
